"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2023,"10012",7,1,"dilluns", 6462
2023,"10012",7,2,"laborables", 6632
2023,"10012",7,3,"divendres", 6511
2023,"10012",7,4,"dissabte", 4731
2023,"10012",7,5,"diumenge", 4481
2023,"10012",8,1,"dilluns", 5086
2023,"10012",8,2,"laborables", 5276
2023,"10012",8,3,"divendres", 5172
2023,"10012",8,4,"dissabte", 3926
2023,"10012",8,5,"diumenge", 3172
2023,"10012",9,1,"dilluns", 6223
2023,"10012",9,2,"laborables", 6417
2023,"10012",9,3,"divendres", 6351
2023,"10012",9,4,"dissabte", 4630
2023,"10012",9,5,"diumenge", 3644
2023,"10012",10,1,"dilluns", 6153
2023,"10012",10,2,"laborables", 6460
2023,"10012",10,3,"divendres", 6182
2023,"10012",10,4,"dissabte", 4818
2023,"10012",10,5,"diumenge", 3832
2023,"10012",11,1,"dilluns", 6214
2023,"10012",11,2,"laborables", 6368
2023,"10012",11,3,"divendres", 6454
2023,"10012",11,4,"dissabte", 4871
2023,"10012",11,5,"diumenge", 3862
2023,"10012",12,1,"dilluns", 6295
2023,"10012",12,2,"laborables", 6170
2023,"10012",12,3,"divendres", 6351
2023,"10012",12,4,"dissabte", 4712
2023,"10012",12,5,"diumenge", 3781
2023,"10013",1,1,"dilluns", 3569
2023,"10013",1,2,"laborables", 3691
2023,"10013",1,3,"divendres", 3824
2023,"10013",1,4,"dissabte", 3202
2023,"10013",1,5,"diumenge", 2251
2023,"10013",2,1,"dilluns", 3684
2023,"10013",2,2,"laborables", 3717
2023,"10013",2,3,"divendres", 3834
2023,"10013",2,4,"dissabte", 3054
2023,"10013",2,5,"diumenge", 2226
2023,"10013",3,1,"dilluns", 3694
2023,"10013",3,2,"laborables", 3819
2023,"10013",3,3,"divendres", 3842
2023,"10013",3,4,"dissabte", 3209
2023,"10013",3,5,"diumenge", 2270
2023,"10013",4,1,"dilluns", 3653
2023,"10013",4,2,"laborables", 3777
2023,"10013",4,3,"divendres", 4077
2023,"10013",4,4,"dissabte", 3640
2023,"10013",4,5,"diumenge", 2444
2023,"10013",5,1,"dilluns", 3811
2023,"10013",5,2,"laborables", 3933
2023,"10013",5,3,"divendres", 3900
2023,"10013",5,4,"dissabte", 3459
2023,"10013",5,5,"diumenge", 2572
2023,"10013",6,1,"dilluns", 3999
2023,"10013",6,2,"laborables", 4117
2023,"10013",6,3,"divendres", 4156
2023,"10013",6,4,"dissabte", 3878
2023,"10013",6,5,"diumenge", 2785
2023,"10013",7,1,"dilluns", 3639
2023,"10013",7,2,"laborables", 3896
2023,"10013",7,3,"divendres", 4012
2023,"10013",7,4,"dissabte", 3437
2023,"10013",7,5,"diumenge", 2953
2023,"10013",8,1,"dilluns", 3104
2023,"10013",8,2,"laborables", 3212
2023,"10013",8,3,"divendres", 3318
2023,"10013",8,4,"dissabte", 2899
2023,"10013",8,5,"diumenge", 2338
2023,"10013",9,1,"dilluns", 4074
2023,"10013",9,2,"laborables", 4234
2023,"10013",9,3,"divendres", 4153
2023,"10013",9,4,"dissabte", 3327
2023,"10013",9,5,"diumenge", 2571
2023,"10013",10,1,"dilluns", 4366
